params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",4.167491952573517,200,-0.1,-0.1,-0.1,-0.1,0.0
"{""discount_factor"": 0.1}",11.355264842109253,200,-0.1,-0.1,-0.1,-0.1,0.0
"{""discount_factor"": 0.2}",12.56919364549605,200,-0.1,-0.1,-0.1,-0.1,0.0
"{""discount_factor"": 0.3}",13.077507344214936,200,-0.1,-0.1,-0.1,-0.1,0.0
"{""discount_factor"": 0.4}",15.818993348724973,200,-0.1,-0.1,-0.1,-0.1,0.0
"{""discount_factor"": 0.5}",16.19667760200123,200,-0.09975905786291125,-0.1,-0.1,-0.08842105263157891,0.0015284220172371297
"{""discount_factor"": 0.6}",19.032329163051855,200,-0.0999712041884817,-0.1,-0.1,-0.09424083769633505,0.0004062149104092293
"{""discount_factor"": 0.7}",20.7940352648737,200,-0.06794990021937024,-0.06764705882352942,-0.13000000000000003,-0.060714285714285735,0.005650985083187869
"{""discount_factor"": 0.8}",4.782232372698957,200,-0.06798517082104955,-0.06764705882352942,-0.125,-0.060714285714285735,0.00530346601921307
"{""discount_factor"": 0.9}",5.187983062873428,200,-0.06925569572404103,-0.06764705882352942,-0.19,-0.060714285714285735,0.01127580882852349
