step,reward,mean,median,std,max,min
0,-0.021428571428571446,-0.021428571428571446,-0.021428571428571446,0.0,-0.021428571428571446,-0.021428571428571446
1,-0.038888888888888896,-0.03015873015873017,-0.03015873015873017,0.008730158730158725,-0.021428571428571446,-0.038888888888888896
2,-0.04500000000000002,-0.03510582010582012,-0.038888888888888896,0.009987884937515113,-0.021428571428571446,-0.04500000000000002
3,-0.04500000000000002,-0.037579365079365094,-0.04194444444444446,0.009652650327875231,-0.021428571428571446,-0.04500000000000002
4,-0.052173913043478286,-0.04049827467218774,-0.04500000000000002,0.010422046801184108,-0.021428571428571446,-0.052173913043478286
5,-0.06764705882352942,-0.04502307203074468,-0.04500000000000002,0.013888298622164378,-0.021428571428571446,-0.06764705882352942
6,-0.04210526315789475,-0.04460624219176612,-0.04500000000000002,0.012898540396529476,-0.021428571428571446,-0.06764705882352942
7,-0.06333333333333337,-0.046947128584462025,-0.04500000000000002,0.01356222861628397,-0.021428571428571446,-0.06764705882352942
8,-0.05769230769230771,-0.04814103737422266,-0.04500000000000002,0.013224986748987642,-0.021428571428571446,-0.06764705882352942
9,-0.052173913043478286,-0.04854432494114822,-0.04858695652173915,0.012604523585385509,-0.021428571428571446,-0.06764705882352942
10,-0.05769230769230771,-0.04937595973670817,-0.052173913043478286,0.012302320386436567,-0.021428571428571446,-0.06764705882352942
11,-0.06451612903225809,-0.05063764051133734,-0.052173913043478286,0.012499802070329444,-0.021428571428571446,-0.06764705882352942
12,-0.038888888888888896,-0.04973389038653361,-0.052173913043478286,0.012410776491265272,-0.021428571428571446,-0.06764705882352942
13,-0.052173913043478286,-0.04990817771917251,-0.052173913043478286,0.01197582176135317,-0.021428571428571446,-0.06764705882352942
14,-0.04210526315789475,-0.04938798341508733,-0.052173913043478286,0.011732322134389715,-0.021428571428571446,-0.06764705882352942
15,-0.054166666666666675,-0.04968665111831104,-0.052173913043478286,0.011418513791328386,-0.021428571428571446,-0.06764705882352942
16,-0.04500000000000002,-0.04941096575841039,-0.052173913043478286,0.011132337561326857,-0.021428571428571446,-0.06764705882352942
17,-0.07317073170731707,-0.05073095275557187,-0.052173913043478286,0.012110500193099784,-0.021428571428571446,-0.07317073170731707
18,-0.052173913043478286,-0.05080689803388274,-0.052173913043478286,0.011791898238016681,-0.021428571428571446,-0.07317073170731707
19,-0.07105263157894738,-0.05181918471113597,-0.052173913043478286,0.012311221827052637,-0.021428571428571446,-0.07317073170731707
20,-0.038888888888888896,-0.051203456338648014,-0.052173913043478286,0.012326036433861194,-0.021428571428571446,-0.07317073170731707
21,-0.021428571428571446,-0.04985005247909908,-0.052173913043478286,0.013545883280706838,-0.021428571428571446,-0.07317073170731707
22,-0.04500000000000002,-0.04963918063218172,-0.052173913043478286,0.013285005038905015,-0.021428571428571446,-0.07317073170731707
23,-0.04761904761904764,-0.049555008423301135,-0.04989648033126296,0.013011552803596364,-0.021428571428571446,-0.07317073170731707
24,-0.038888888888888896,-0.049128363641924654,-0.04761904761904764,0.012918866226328237,-0.021428571428571446,-0.07317073170731707
25,-0.054166666666666675,-0.04932214452749165,-0.04989648033126296,0.012704989608707258,-0.021428571428571446,-0.07317073170731707
26,-0.07317073170731707,-0.05020542553415185,-0.052173913043478286,0.01325606205319952,-0.021428571428571446,-0.07317073170731707
27,-0.04210526315789475,-0.0499161340207141,-0.04989648033126296,0.013103700695335584,-0.021428571428571446,-0.07317073170731707
28,-0.062068965517241406,-0.05033519717576677,-0.052173913043478286,0.01306534468848068,-0.021428571428571446,-0.07317073170731707
29,-0.052173913043478286,-0.05039648770469048,-0.052173913043478286,0.012849983013230797,-0.021428571428571446,-0.07317073170731707
30,-0.050000000000000024,-0.05038369777873272,-0.052173913043478286,0.01264122038139538,-0.021428571428571446,-0.07317073170731707
31,-0.052173913043478286,-0.05043964200575602,-0.052173913043478286,0.012446031939369925,-0.021428571428571446,-0.07317073170731707
32,-0.052173913043478286,-0.05049219567356578,-0.052173913043478286,0.012259610091771043,-0.021428571428571446,-0.07317073170731707
33,-0.04761904761904764,-0.05040769131902113,-0.052173913043478286,0.012087727725326989,-0.021428571428571446,-0.07317073170731707
34,-0.04210526315789475,-0.05017047908584609,-0.052173913043478286,0.01199381789440056,-0.021428571428571446,-0.07317073170731707
35,-0.02666666666666669,-0.04951759540753555,-0.051086956521739155,0.012440851515684264,-0.021428571428571446,-0.07317073170731707
36,-0.07105263157894738,-0.0500996234121683,-0.052173913043478286,0.012758797813022133,-0.021428571428571446,-0.07317073170731707
37,-0.052173913043478286,-0.0501542099814133,-0.052173913043478286,0.012594177382260888,-0.021428571428571446,-0.07317073170731707
38,-0.05925925925925928,-0.05038767278340935,-0.052173913043478286,0.012514690630591989,-0.021428571428571446,-0.07317073170731707
39,-0.03125000000000001,-0.049909230963824124,-0.052173913043478286,0.01271335522017435,-0.021428571428571446,-0.07317073170731707
40,-0.03529411764705883,-0.04955276478536643,-0.052173913043478286,0.012758132539624375,-0.021428571428571446,-0.07317073170731707
41,-0.050000000000000024,-0.0495634132428577,-0.051086956521739155,0.012605519424910614,-0.021428571428571446,-0.07317073170731707
