episode,length,time,reward,delta
0,83.0,0.008518702587025473,-18.299999999999986,-10.000509547081242
1,26.0,0.0026868105687753996,-12.600000000000001,-10.000852125446038
2,33.0,0.0038617222926404793,-13.3,-9.000458592373118
3,109.0,0.007088976451996132,-20.899999999999977,-10.000259184194478
4,95.0,0.006198903784024878,-19.499999999999982,-10.000230640300124
5,34.0,0.0023004408094493556,-13.400000000000002,-10.000483679263928
6,52.0,0.003390414394743857,-15.199999999999998,-10.000361634465607
7,58.0,0.003778364399295242,-15.799999999999995,-10.000286371370947
8,11.0,0.0014056274085305631,-11.1,-9.09029658047527
9,45.0,0.004137079881729733,-14.5,-8.280355729789418
10,52.0,0.0033991057389357593,-15.199999999999998,-9.980559880800417
11,62.0,0.004067944189046102,-16.199999999999996,-10.000399199944365
12,61.0,0.003964833240388543,-16.099999999999994,-10.000676446980231
13,50.0,0.003261624475271674,-14.999999999999998,-10.000414671619684
14,158.0,0.010231292474600195,-25.79999999999996,-9.97205529440626
15,41.0,0.0027247364341747016,-14.100000000000001,-9.000766912901435
16,13.0,0.0009722453769427375,-11.3,-10.000474841231274
17,46.0,0.003029328546290344,-14.6,-9.990718438277371
18,34.0,0.0022451322547567543,-13.400000000000002,-9.980529764111829
19,47.0,0.003069624778618163,-14.7,-9.090227004003356
20,18.0,0.0018283427898495574,-11.8,-8.100690221611291
21,60.0,0.005931052355663269,-15.999999999999995,-10.000228320787556
22,108.0,0.010750007703791198,-20.799999999999976,-9.989720274939234
23,80.0,0.00809282671798428,-17.999999999999986,-10.000089795629528
24,23.0,0.0023735271133773495,-12.3,-8.991646594449634
25,97.0,0.008674356662595528,-19.69999999999998,-10.00042270426188
26,13.0,0.0009228627386619337,-11.3,-10.000760396374684
27,76.0,0.004913770012535679,-17.599999999999987,-7.290621199450161
28,68.0,0.0045163385420892155,-16.79999999999999,-9.999989726903811
29,42.0,0.002760291934464476,-14.200000000000001,-10.000584177884518
30,47.0,0.003073970450714114,-14.7,-9.00023326577503
31,46.0,0.003011155735293869,-14.6,-9.999980392162053
32,148.0,0.009603540379430342,-24.79999999999996,-6.5615590795051455
33,71.0,0.004612733451722306,-17.09999999999999,-9.981118968823788
34,44.0,0.0029021188711340073,-14.4,-9.980774250083087
35,60.0,0.0038937222425374785,-15.999999999999995,-9.000525760096066
36,167.0,0.010805711319335387,-26.699999999999967,-8.99999075421343
37,48.0,0.0031217728446790716,-14.799999999999999,-9.989420530969102
38,9.0,0.0006597520441573579,-10.9,-8.181204303603021
39,61.0,0.0040813762661855435,-16.099999999999994,-7.913897570589654
40,23.0,0.0015537753224634798,-12.3,-9.981434251270137
41,74.0,0.004782609726134979,-17.39999999999999,-9.990547169996734
42,14.0,0.0009746157438712544,-11.4,-7.363083873242719
43,147.0,0.009465664054914669,-24.699999999999964,-8.099991678792087
44,123.0,0.007973123202646093,-22.299999999999972,-8.100209939197526
45,61.0,0.00398814184609364,-16.099999999999994,-5.905403171554631
46,33.0,0.00219219406699267,-13.3,-9.090377493666063
47,19.0,0.0012946152382937726,-11.9,-9.364967684600515
48,69.0,0.004687399999966146,-16.89999999999999,-9.930944575677483
49,104.0,0.006706557303004956,-20.399999999999977,-10.000596673268959
50,122.0,0.007948629414386232,-22.199999999999974,-9.999824464334116
51,226.0,0.01790930503193522,-32.60000000000005,-9.99987062892597
52,110.0,0.00827060421488568,-20.99999999999998,-9.930612951042177
53,158.0,0.010120280304363405,-25.79999999999996,-10.000229107072885
54,107.0,0.007006803742115153,-20.699999999999978,-9.999840755333809
55,108.0,0.0069491248214035295,-20.799999999999976,-9.000207576270112
56,47.0,0.0031672048708060174,-14.7,-9.981391240559264
57,18.0,0.0012412819887686055,-11.8,-5.314862854399168
58,24.0,0.0016221208934439346,-12.4,-9.170458649207871
59,56.0,0.0036555003962348565,-15.599999999999996,-8.253412784287084
60,31.0,0.0023292802698051673,-13.100000000000001,-8.351457093778214
61,41.0,0.0038585618040087866,-14.100000000000001,-9.963242326226121
62,68.0,0.006768976957573614,-16.79999999999999,-9.0002054887088
63,12.0,0.0008782208342381637,-11.2,-9.286642798599962
64,130.0,0.008331443624228996,-22.99999999999997,-8.100473184086459
65,188.0,0.012265857159945881,-28.799999999999997,-10.000210477573024
66,60.0,0.004115746582101565,-15.999999999999995,-8.10018493983792
67,15.0,0.0010844427306437865,-11.5,-7.516311384400392
68,20.0,0.0013756027638009982,-12.0,-4.783376568959251
69,65.0,0.004206610636174446,-16.499999999999993,-7.397691011154813
70,66.0,0.004413622655192739,-16.599999999999994,-10.000285218075824
71,22.0,0.0014874050566504593,-12.200000000000001,-6.764680245960354
72,58.0,0.0037669076282327296,-15.799999999999995,-6.088212221364318
73,63.0,0.004070314555974619,-16.299999999999994,-5.479390999227887
74,100.0,0.006565520488948096,-19.99999999999998,-7.428071505858375
75,106.0,0.00677687818006234,-20.59999999999998,-6.657921910039332
76,147.0,0.009537960236229992,-24.699999999999964,-9.000080816066575
77,32.0,0.0021044905015514814,-13.200000000000001,-7.2452303786453855
78,71.0,0.004689770366894663,-17.09999999999999,-10.00067884103929
79,110.0,0.007023396308795782,-20.99999999999998,-6.685264355272537
80,256.0,0.015968764888384612,-35.600000000000094,-9.980552643253546
81,54.0,0.003668932473374298,-15.399999999999997,-7.290166445854128
82,337.0,0.02120964549612836,-43.70000000000021,-9.000189429815721
83,134.0,0.008597714808274759,-23.39999999999997,-9.000610956935361
84,81.0,0.00508562159302528,-18.099999999999987,-5.992129719035399
85,87.0,0.005591299806837924,-18.699999999999985,-4.931451899305098
86,35.0,0.002241181643512391,-13.500000000000002,-8.181339744299455
87,47.0,0.002975600236823084,-14.7,-5.392916747131859
88,70.0,0.004402165883220732,-16.999999999999993,-9.999825987296067
89,98.0,0.006288977716394584,-19.799999999999983,-8.999842017900704
90,19.0,0.0012483930886446615,-11.9,-4.853625072418673
91,38.0,0.00241895914041379,-13.800000000000002,-9.451392932701603
92,14.0,0.0009394553053425625,-11.4,-6.561149801268716
93,239.0,0.014998494817518804,-33.90000000000007,-9.990062322234472
94,28.0,0.0018362440114287892,-12.8,-9.451346944751196
95,83.0,0.005180041196581442,-18.299999999999986,-5.905034821141844
96,53.0,0.0033370811470376793,-15.299999999999997,-8.10017048683415
97,86.0,0.00547080616979656,-18.599999999999987,-4.305038912063326
98,52.0,0.0032809824688229128,-15.199999999999998,-6.520707340780847
99,17.0,0.0011255290855842759,-11.700000000000001,-3.8745350208569933
100,93.0,0.005897472162359918,-19.299999999999983,-9.922742866908074
101,145.0,0.008976973468634242,-24.499999999999964,-10.00033819871754
102,17.0,0.00111841798570822,-11.700000000000001,-4.917927792924383
103,37.0,0.0023826135193303344,-13.700000000000003,-3.4870815187712942
104,17.0,0.0011282945133643807,-11.700000000000001,-7.783460027024736
105,36.0,0.002309527214492846,-13.600000000000001,-5.868636606702762
106,82.0,0.005122362275869818,-18.19999999999999,-9.347153302143239
107,51.0,0.0032458220312037156,-15.099999999999998,-10.000276193100461
108,37.0,0.002358119730160979,-13.700000000000003,-9.9572855823017
109,60.0,0.0037578212222797447,-15.999999999999995,-3.1383733668941645
110,98.0,0.006215891411557095,-19.799999999999983,-5.281772946032486
111,14.0,0.0009426157948837499,-11.4,-4.426135013631945
112,214.0,0.013408768933913962,-31.400000000000034,-10.000654112077495
113,93.0,0.005785274808658869,-19.299999999999983,-9.905661634615731
114,164.0,0.010350995988119394,-26.399999999999963,-9.347860665990034
115,201.0,0.014394051328054047,-30.100000000000016,-9.989755110008803
116,26.0,0.0016861207923284383,-12.600000000000001,-7.36320576986951
117,33.0,0.0021131818457433837,-13.3,-9.950751025104108
118,36.0,0.0023221691699291114,-13.600000000000001,-2.824536030204748
119,16.0,0.0010698254700400867,-11.6,-3.9835215122687506
120,49.0,0.003106365462372196,-14.899999999999999,-8.09248193500467
121,70.0,0.004374906667180767,-16.999999999999993,-9.883003860615961
122,13.0,0.000940245427955233,-11.3,-2.5420824271842735
123,44.0,0.002783995601021161,-14.4,-7.289992510912879
124,43.0,0.002720390762988245,-14.3,-3.585169361041876
125,22.0,0.0014289360133261653,-12.200000000000001,-8.894703474554365
126,74.0,0.004722165376733756,-17.39999999999999,-8.412437971928915
127,17.0,0.00112118341257883,-11.700000000000001,-2.2878741844658457
128,18.0,0.00118399812890857,-11.8,-4.7535956514292375
129,47.0,0.0029815261523253866,-14.7,-6.560993259821591
130,64.0,0.004393869599880418,-16.39999999999999,-9.000206196365596
131,131.0,0.00832433252435294,-23.09999999999997,-10.000460129573346
132,134.0,0.009110504121963459,-23.39999999999997,-7.290425865677813
133,130.0,0.00831880166879273,-22.99999999999997,-9.990236147580069
134,87.0,0.005661620682985813,-18.699999999999985,-10.000244205410041
135,99.0,0.00613569400866254,-19.89999999999998,-8.999982352945848
136,20.0,0.0013364917149374378,-12.0,-9.495945729017187
137,106.0,0.0066401870381014305,-20.59999999999998,-7.29241997754939
138,79.0,0.005033078466112784,-17.899999999999988,-6.561383279110032
139,29.0,0.0018729846942733275,-12.900000000000002,-7.283233741504203
140,28.0,0.001801083573809592,-12.8,-2.059086766019261
141,132.0,0.008589023464082857,-23.199999999999967,-10.000336401075701
142,90.0,0.0061913976232972345,-18.999999999999986,-6.0167379197452835
143,28.0,0.0019713549090738525,-12.8,-6.5631779797944505
144,143.0,0.00940798513329355,-24.299999999999965,-10.000634432611363
145,35.0,0.002807304205816763,-13.500000000000002,-6.626885192882559
146,34.0,0.0022652803709206637,-13.400000000000002,-1.8531780894173355
147,101.0,0.006293323388490535,-20.09999999999998,-10.000014493034646
148,118.0,0.007418457412313728,-21.799999999999976,-9.00035927994993
149,53.0,0.00334063669652096,-15.299999999999997,-5.906860181815006
150,20.0,0.001316738660534611,-12.0,-1.6678602804756029
151,56.0,0.0035251302315373323,-15.599999999999996,-1.501074252428042
152,39.0,0.0025137738048215397,-13.900000000000002,-5.769835350748846
153,17.0,0.001125134024732688,-11.700000000000001,-3.2266524249376882
154,8.0,0.0005712583570129937,-10.8,-4.438306709374588
155,77.0,0.004799597353667195,-17.69999999999999,-9.988955459492598
156,42.0,0.002758711689239135,-14.200000000000001,-5.192851815673961
157,115.0,0.007137568967664265,-21.499999999999975,-9.000248573790415
158,68.0,0.004250857480656123,-16.79999999999999,-4.278236086286314
159,17.0,0.0011476525078251143,-11.700000000000001,-9.867138058953929
160,87.0,0.005434065486952022,-18.699999999999985,-9.999776407157414
161,35.0,0.002229329810688796,-13.500000000000002,-5.904893933839432
162,124.0,0.007834061693756667,-22.39999999999997,-2.9039871824439194
163,23.0,0.001497676645158208,-12.3,-9.449151822032094
164,130.0,0.008192777176191157,-22.99999999999997,-10.000339998255855
