params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.7, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",9.481094745924565,10,-5.317307692307692,-13.375,-13.375,6.769230769230769,9.86861732909761
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.8, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",8.964892499923735,10,0.7259615384615383,6.769230769230769,-13.375,6.769230769230769,9.231246231665851
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.9, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",9.619835069888723,10,-1.2884615384615383,6.769230769230769,-13.375,6.769230769230769,9.868617329097612
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.0, ""q_init"": 0, ""epsilon_decay"": 1e-05}",112.58700430695717,10,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.1, ""q_init"": 0, ""epsilon_decay"": 1e-05}",6.634854107884166,10,-1.2884615384615383,6.769230769230769,-13.375,6.769230769230769,9.868617329097612
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.2, ""q_init"": 0, ""epsilon_decay"": 1e-05}",6.929625000098895,10,-7.331730769230769,-13.375,-13.375,6.769230769230769,9.231246231665851
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.3, ""q_init"": 0, ""epsilon_decay"": 1e-05}",6.261117216999992,10,-7.331730769230769,-13.375,-13.375,6.769230769230769,9.231246231665851
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.4, ""q_init"": 0, ""epsilon_decay"": 1e-05}",5.775136750402453,10,0.7259615384615384,6.769230769230769,-13.375,6.769230769230769,9.231246231665851
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.5, ""q_init"": 0, ""epsilon_decay"": 1e-05}",19.98114452362279,10,-1.2884615384615383,6.769230769230769,-13.375,6.769230769230769,9.868617329097612
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.6, ""q_init"": 0, ""epsilon_decay"": 1e-05}",6.019009155144886,10,-3.302884615384616,-3.3028846153846154,-13.375,6.769230769230769,10.072115384615383
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.7, ""q_init"": 0, ""epsilon_decay"": 1e-05}",6.061633482850084,10,0.7259615384615384,6.769230769230769,-13.375,6.769230769230769,9.231246231665851
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.8, ""q_init"": 0, ""epsilon_decay"": 1e-05}",5.586193641571299,10,0.7259615384615387,6.769230769230769,-13.375,6.769230769230769,9.231246231665851
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.9, ""q_init"": 0, ""epsilon_decay"": 1e-05}",6.140671777704483,10,-7.331730769230769,-13.375,-13.375,6.769230769230769,9.231246231665851
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.0, ""q_init"": 0, ""epsilon_decay"": 1e-05}",123.14515493111321,10,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.1, ""q_init"": 0, ""epsilon_decay"": 1e-05}",8.919239238734008,10,-1.2884615384615383,6.769230769230769,-13.375,6.769230769230769,9.868617329097612
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.2, ""q_init"": 0, ""epsilon_decay"": 1e-05}",7.755284139797368,10,2.7403846153846154,6.769230769230769,-13.375,6.769230769230769,8.057692307692307
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.3, ""q_init"": 0, ""epsilon_decay"": 1e-05}",7.845990959420305,10,-9.346153846153847,-13.375,-13.375,6.769230769230769,8.057692307692307
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.4, ""q_init"": 0, ""epsilon_decay"": 1e-05}",7.305557245539603,10,-3.302884615384616,-3.3028846153846154,-13.375,6.769230769230769,10.072115384615383
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.5, ""q_init"": 0, ""epsilon_decay"": 1e-05}",7.658592144447539,10,-7.331730769230769,-13.375,-13.375,6.769230769230769,9.231246231665851
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.6, ""q_init"": 0, ""epsilon_decay"": 1e-05}",7.597388883139502,10,-3.3028846153846154,-3.3028846153846154,-13.375,6.769230769230769,10.072115384615385
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.7, ""q_init"": 0, ""epsilon_decay"": 1e-05}",7.715049536711376,10,-5.317307692307693,-13.375,-13.375,6.769230769230769,9.868617329097612
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.8, ""q_init"": 0, ""epsilon_decay"": 1e-05}",7.766784368537628,10,-5.317307692307693,-13.375,-13.375,6.769230769230769,9.868617329097612
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.9, ""q_init"": 0, ""epsilon_decay"": 1e-05}",7.637856177216236,10,-3.302884615384616,-3.3028846153846154,-13.375,6.769230769230769,10.072115384615383
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.0, ""q_init"": 0, ""epsilon_decay"": 1e-05}",112.17924514884726,10,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.1, ""q_init"": 0, ""epsilon_decay"": 1e-05}",9.135055589047624,10,-7.331730769230769,-13.375,-13.375,6.769230769230769,9.231246231665851
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.2, ""q_init"": 0, ""epsilon_decay"": 1e-05}",10.11285117969237,10,-5.3173076923076925,-13.375,-13.375,6.769230769230769,9.868617329097612
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.3, ""q_init"": 0, ""epsilon_decay"": 1e-05}",9.987693056484204,10,-3.302884615384616,-3.3028846153846154,-13.375,6.769230769230769,10.072115384615383
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.4, ""q_init"": 0, ""epsilon_decay"": 1e-05}",10.177103127542068,10,-5.3173076923076925,-13.375,-13.375,6.769230769230769,9.868617329097612
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.5, ""q_init"": 0, ""epsilon_decay"": 1e-05}",10.711616850778228,10,-1.2884615384615383,6.769230769230769,-13.375,6.769230769230769,9.868617329097612
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.6, ""q_init"": 0, ""epsilon_decay"": 1e-05}",12.120384204825314,10,-1.2884615384615385,6.769230769230769,-13.375,6.769230769230769,9.868617329097612
