episode,length,time,reward,delta
67,57.0,0.006457668807570371,-15.699999999999996,-5.020492357983746
68,40.0,0.0046127334514949325,-14.000000000000002,-9.0
69,38.0,0.00430537591250868,-13.800000000000002,-6.492347343804886
70,21.0,0.0014640964518548572,-12.100000000000001,-8.1
71,15.0,0.0010394057649136812,-11.5,-9.252363274623042
72,11.0,0.0007810358026745234,-11.1,-9.96763040684544
73,20.0,0.0013692817867649865,-12.0,-9.834915475903216
74,35.0,0.002380243152174444,-13.500000000000002,-7.29
75,91.0,0.009539540480773212,-19.099999999999984,-10.0
76,9.0,0.001147652507370367,-10.9,-4.928749441157742
77,17.0,0.0019843919258164533,-11.700000000000001,-4.518443122185371
78,20.0,0.0023063667256337794,-12.0,-9.09
79,8.0,0.0006700236326651066,-10.8,-4.066598809966834
80,60.0,0.003911895052624459,-4.999999999999995,1.0
81,64.0,0.004215301980821096,-16.39999999999999,-9.90799621710489
82,72.0,0.0047178197053199256,-17.19999999999999,-6.561
83,32.0,0.003551599325874122,-13.200000000000001,-3.659938928970151
84,45.0,0.004899942874089902,-14.5,-9.95537064
85,8.0,0.0010066156933135062,-10.8,-7.29
86,23.0,0.002627156342214221,-12.3,-9.97927104
87,18.0,0.0017769848461739457,-11.8,-4.435874497041968
88,33.0,0.0031711554827325017,-13.3,-9.238477636321132
89,14.0,0.0015154543953030952,-11.4,-6.561
90,29.0,0.002950711386574767,-12.900000000000002,-5.843112609424398
91,7.0,0.0008363443573671248,-10.7,-3.992287047337771
92,22.0,0.0022569840875803493,-12.200000000000001,-9.08827104
93,69.0,0.007256087299083447,-16.89999999999999,-7.5472368370048954
94,32.0,0.0021566385673850164,-13.200000000000001,-9.0
95,9.0,0.000659356982623649,-10.9,-8.34680293702882
96,11.0,0.0007782703751217923,-11.1,-8.612004598085218
97,63.0,0.005180041197036189,-16.299999999999994,-3.9461895027266465
98,14.0,0.0024608356175122026,-11.4,-9.0
99,29.0,0.0037495249389394303,-12.900000000000002,-4.881033062529653
100,13.0,0.001509528478663924,-11.3,-5.9049
101,5.0,0.0006443446607136138,-10.5,-4.392929756276688
102,36.0,0.0037542656723417167,-13.600000000000001,-7.512122643325938
103,16.0,0.0017402441635567811,-11.6,-7.95736269470985
104,18.0,0.0018366390729624982,-11.8,-5.31441
105,28.0,0.003108340767084883,-12.8,-5.714294625084154
106,20.0,0.00259950206486792,-12.0,-7.100153172242343
107,35.0,0.004220832836153932,-13.500000000000002,-9.934456534179997
108,49.0,0.005460929641913026,-14.899999999999999,-9.03923451062073
109,42.0,0.004219647652917047,-14.200000000000001,-9.9894
110,23.0,0.002631106953458584,-12.3,-9.899932401929716
111,41.0,0.004685029633492377,-14.100000000000001,-9.08076
112,96.0,0.0110064023601808,-19.59999999999998,-7.090570319986171
113,17.0,0.002150712650745845,-11.700000000000001,-5.142865162575738
114,51.0,0.006711693097713578,-4.099999999999998,1.0
115,28.0,0.0036456238685786957,-12.8,-8.1
116,41.0,0.004153277387558774,-14.100000000000001,-6.725713897881861
117,27.0,0.0028424646438907075,-12.700000000000001,-7.426237139057488
118,14.0,0.0014933309735170042,-11.4,-4.628578646318164
119,20.0,0.002453329456557185,-12.0,-6.053142508093675
120,102.0,0.010399588504242274,-20.19999999999998,-5.447828257284307
121,70.0,0.007829320961036501,-16.999999999999993,-6.73573702553886
122,40.0,0.0054186581039630255,-14.000000000000002,-9.003125575184644
123,9.0,0.0013815286808949168,-10.9,-3.9536367806490196
124,58.0,0.007548037454853329,-4.799999999999995,0.914
125,55.0,0.005518213502000435,-15.499999999999996,-3.558273102584118
126,19.0,0.0025418231437015493,-11.9,-6.296519671298378
127,62.0,0.0070459147916608345,-16.199999999999996,-8.1
128,11.0,0.001380343497658032,-11.1,-4.782969
129,28.0,0.0032671553308318835,-12.8,-3.2024457923257064
130,115.0,0.012308918820281178,-10.499999999999975,0.8226
131,16.0,0.0017939724737061624,-11.6,-9.25186180842808
132,23.0,0.002902908992837183,-12.3,-4.3046720999999994
133,24.0,0.0026662673915325286,-12.4,-3.551570552453982
134,18.0,0.0019990091868749005,-11.8,-5.393694803363857
135,19.0,0.002161379300559929,-11.9,-2.8822012130931354
136,172.0,0.019854190847581776,-27.199999999999974,-2.5939810917838217
137,28.0,0.0031873529878794216,-12.8,-3.593058342603994
138,31.0,0.0032821676529692922,-13.100000000000001,-5.66686770416854
139,35.0,0.0036649818628120556,-13.500000000000002,-4.734591775603926
140,15.0,0.0018247872399115295,-11.5,-6.435518742026041
141,70.0,0.00817934509927909,-16.999999999999993,-4.854325323027472
142,56.0,0.006015595432245391,-15.599999999999996,-8.338498463505353
143,18.0,0.0021293793511176773,-11.8,-3.8742048899999997
144,22.0,0.002164144728340034,-12.200000000000001,-9.83149607327823
145,25.0,0.002390514740909566,-12.5,-2.33458298260544
146,40.0,0.003869228453595497,-14.000000000000002,-3.1964134972085834
147,27.0,0.0034212291614039714,-12.700000000000001,-9.833368202861452
148,12.0,0.0014945161569812626,-11.2,-9.48224998931632
149,62.0,0.006642162343268865,-16.199999999999996,-8.473331702800712
150,19.0,0.002076441163126219,-11.9,-2.876772147487725
151,48.0,0.006264878988758937,-14.799999999999999,-4.261132598043534
152,25.0,0.0026733784914085845,-12.5,-7.504648617154818
153,48.0,0.00607129904778958,-14.799999999999999,-7.625998532520641
154,55.0,0.006350212187271609,-15.499999999999996,-9.0
155,34.0,0.0039209814581226965,-13.400000000000002,-9.598614743441217
156,30.0,0.003497475954645779,-13.000000000000002,-7.29
157,6.0,0.0004768387525473372,-10.6,-8.702729804618944
158,65.0,0.0042228081415487395,-16.499999999999993,-2.8678860162927373
159,25.0,0.0016794047535313439,-12.5,-4.42891909045189
160,66.0,0.004277326574083418,-16.599999999999994,-7.750250315013622
161,88.0,0.009037022756274382,-18.799999999999983,-8.172684
