episode,length,time,reward,delta
0,38.0,0.0025947613321477547,-13.800000000000002,-9.999867620981748
1,129.0,0.009001467256894102,-22.89999999999997,-10.000549092728546
2,18.0,0.0012562943102238933,-11.8,-10.000456254386865
3,82.0,0.005462904948217329,-18.19999999999999,-10.000386229650868
4,101.0,0.007418852474074811,-20.09999999999998,-10.000289842943342
5,82.0,0.005304090384015581,-18.19999999999999,-10.000530254322054
6,29.0,0.002061033779682475,-12.900000000000002,-10.000066777817398
7,24.0,0.0016410838270530803,-12.4,-9.83290681481479
8,35.0,0.00226962604210712,-13.500000000000002,-9.999863842550969
9,62.0,0.003932043169697863,-16.199999999999996,-9.999736969333958
10,20.0,0.0015225654951791512,-12.0,-10.000657445214665
11,31.0,0.0023679962596361293,-13.100000000000001,-9.910047800419562
12,23.0,0.0015190099456958706,-12.3,-10.000294697464504
13,63.0,0.00400552453356795,-16.299999999999994,-10.000056073057722
14,27.0,0.001761577463184949,-12.700000000000001,-9.869325355630522
15,25.0,0.0016387134601245634,-12.5,-9.909927779235883
16,31.0,0.002067749819616438,-13.100000000000001,-9.869392214125078
17,35.0,0.0022613297587668058,-13.500000000000002,-10.000579691263287
18,33.0,0.0021277991072565783,-13.3,-10.000519565587007
19,72.0,0.004984090888683568,-17.19999999999999,-10.00044940070742
20,22.0,0.001549034588606446,-12.200000000000001,-9.836566132716957
21,21.0,0.001499651951235137,-12.100000000000001,-9.841128319629654
22,21.0,0.0013933805130363908,-12.100000000000001,-9.86934820930907
23,65.0,0.004092833038157551,-16.499999999999993,-9.855277819883804
24,20.0,0.0014569853519788012,-12.0,-9.860323037556977
25,90.0,0.005655694765664521,-18.999999999999986,-9.909884162332801
26,90.0,0.00561026273862808,-18.999999999999986,-10.000150925937671
27,38.0,0.0024900701391743496,-13.800000000000002,-9.999955249633919
28,11.0,0.0007644432353117736,-11.1,-9.818046127750252
29,220.0,0.014099335745413555,-32.00000000000004,-10.000083662676758
30,38.0,0.0024312060359079624,-13.800000000000002,-10.000319082708144
31,106.0,0.006987840808506007,-20.59999999999998,-9.900841646810862
32,89.0,0.005581818340942846,-18.899999999999984,-10.00051399848708
33,17.0,0.0011326401854603318,-11.700000000000001,-0.9910047800419566
34,48.0,0.0030257729958975688,-14.799999999999999,-9.865182206726312
35,169.0,0.016667232921463437,-26.89999999999997,-1.000051399848708
36,77.0,0.006425668858355493,-17.69999999999999,-10.000138228826176
37,75.0,0.0061068545473972335,-17.49999999999999,-9.999605350585185
38,46.0,0.004895992264209781,-14.6,-9.999858071708847
39,78.0,0.008388727484998526,-17.79999999999999,-9.830665160902495
40,31.0,0.0033295749854005408,-13.100000000000001,-9.999658875240584
41,115.0,0.008922455035644816,-10.499999999999975,0.9993716310531285
42,9.0,0.0006723939986841287,-10.9,-9.804339647974771
43,49.0,0.0035697721359611023,-14.899999999999999,-9.841947123574124
44,170.0,0.011582006389289745,-26.99999999999997,-9.827910471599713
45,39.0,0.0026062181023007724,-13.900000000000002,-10.000052585671739
46,69.0,0.007436630223310203,-16.89999999999999,-10.00034608383136
47,64.0,0.006958606289117597,-16.39999999999999,-9.999737414041782
48,52.0,0.0034721920455922373,-15.199999999999998,-10.000437299295141
49,54.0,0.0035974264137621503,-15.399999999999997,-9.999974979100044
50,87.0,0.0066453228319005575,-18.699999999999985,-9.864623065999291
51,34.0,0.00230597166591906,-13.400000000000002,-9.999592869144005
52,54.0,0.0035800437253783457,-15.399999999999997,-10.000705408465535
53,112.0,0.007568580631414079,-21.199999999999974,-9.999688400481064
54,50.0,0.0032782170419523027,-14.999999999999998,-9.999704216891189
55,112.0,0.0075409263554320205,-21.199999999999974,-9.909889667854824
56,50.0,0.003343007063449477,-14.999999999999998,-10.000216237822356
57,34.0,0.0022949099547986407,-13.400000000000002,-9.869248559286977
58,48.0,0.0031466616947000148,-14.799999999999999,-9.803616006907724
59,180.0,0.01647760359082895,-27.999999999999986,-10.000566376039629
60,34.0,0.002272391469887225,-13.400000000000002,-1.0000294697464494
61,81.0,0.005247596645858721,-18.099999999999987,-10.00039191871966
62,38.0,0.002788341273117112,-13.800000000000002,-0.9909889667854817
63,24.0,0.0016229110169660999,-12.4,-9.800519929038373
64,193.0,0.012559782620883198,-29.300000000000004,-9.849842177519767
65,30.0,0.002008095591008896,-13.000000000000002,-9.800238198966273
66,17.0,0.0011733314786397386,-11.700000000000001,-0.980361600690772
67,42.0,0.002750810468569398,-14.200000000000001,-10.000223936812798
68,7.0,0.0005285917577566579,-10.7,-9.801911640781155
69,45.0,0.004707153055278468,-14.5,-9.999752784297941
70,44.0,0.004551894040560001,-14.4,-9.909639733478235
71,136.0,0.014012422301675542,-12.599999999999968,0.09993716310531287
72,80.0,0.00561579359418829,-17.999999999999986,-9.999621445458725
73,93.0,0.006343101087622927,-19.299999999999983,-9.909831794965564
74,99.0,0.00953756517446891,-8.89999999999998,0.5456183927584899
75,96.0,0.008219641331379535,-19.59999999999998,-0.09909889667854799
76,121.0,0.007807197538568289,-22.099999999999973,-10.000290652920404
77,58.0,0.004024882529847673,-15.799999999999995,-9.851626335664625
78,97.0,0.006283841921685962,-19.69999999999998,-9.85115746116192
79,125.0,0.010246699855997576,-22.49999999999997,-9.86021603491783
80,40.0,0.004183697094049421,-14.000000000000002,-10.000013316771224
81,50.0,0.003907549380528508,-14.999999999999998,-9.999988483580033
82,92.0,0.0059843856033694465,-19.19999999999998,-1.000013822882618
83,149.0,0.009832280758928391,-13.899999999999963,0.9998911706514909
84,59.0,0.0038447346651082626,-15.899999999999995,-9.999543631254017
85,15.0,0.0010433563766127918,-11.5,-0.9869325355630512
86,33.0,0.002625971157613094,-13.3,-9.999915689983002
87,45.0,0.0029669088926311815,-14.5,-9.999635789537894
88,26.0,0.001746170079059084,-12.600000000000001,-9.82491201350871
89,63.0,0.004096783648492419,-16.299999999999994,-9.909897557897477
90,39.0,0.0028073042049072683,-13.900000000000002,-9.90995327408415
91,67.0,0.00435712891703588,-16.699999999999992,-0.9999915689983006
92,166.0,0.01108027878581197,-15.599999999999966,0.0545618392758489
93,57.0,0.003814710022197687,-15.699999999999996,-9.810649137803152
94,67.0,0.004419153510752949,-16.699999999999992,-9.999922223203715
95,58.0,0.00382695691587287,-15.799999999999995,-0.9810649137803154
96,67.0,0.004354363489255775,-16.699999999999992,-9.799747479884177
97,24.0,0.0016165900397027144,-12.4,-9.799643445071007
98,100.0,0.006642952464972041,-8.99999999999998,0.8129824446397177
99,40.0,0.002640193357365206,-14.000000000000002,-1.0000056073057717
100,8.0,0.000589826227951562,-10.8,-1.0000549092728548
101,107.0,0.007149025739636272,-20.699999999999978,-9.820816610467213
102,108.0,0.006962161836781888,-20.799999999999976,-9.82037083698909
103,51.0,0.004540042209555395,-15.099999999999998,-10.000336745582054
104,26.0,0.0027464647973829415,-12.600000000000001,-9.802688423456438
105,36.0,0.0037653273830073886,-13.600000000000001,-0.9999736969333952
106,189.0,0.012228326355398167,-17.9,0.08129824446397171
107,39.0,0.0028950077703484567,-13.900000000000002,-9.800736357490365
108,101.0,0.00695821122644702,-9.09999999999998,0.008129824446397205
109,55.0,0.0061866568903496955,-15.499999999999996,-9.999987476883785
110,137.0,0.013646990781126078,-12.699999999999967,0.0008129824446396761
111,15.0,0.0015841950280446326,-11.5,-0.9799747479884182
112,103.0,0.010219835701718694,-20.29999999999998,-0.009909889667854443
113,81.0,0.007741222334516351,-18.099999999999987,-9.999995659884801
114,57.0,0.0043156475003343076,-15.699999999999996,-9.859282319459867
115,108.0,0.006968877876715851,-9.799999999999978,0.09998911706514912
116,37.0,0.002448983785143355,-13.700000000000003,-9.81747979379825
117,31.0,0.002128589228959754,-13.100000000000001,-9.999560033883906
118,103.0,0.0068815693721262505,-20.29999999999998,-9.802354164472764
119,63.0,0.006351002308292664,-16.299999999999994,-9.909867050462339
120,73.0,0.0047683875272923615,-17.29999999999999,-9.850311617066652
121,82.0,0.005920385707213427,-18.19999999999999,-1.000043729929514
122,95.0,0.009011738846311346,-8.499999999999982,0.5456212502262809
123,55.0,0.004860831824771594,-15.499999999999996,-9.859227197686034
124,33.0,0.0021195028220972745,-13.3,-0.09869325355630565
125,81.0,0.005060732744823326,-18.099999999999987,-0.9999605350585181
126,94.0,0.006401570131856715,-19.399999999999984,-1.0000391918719664
127,64.0,0.004158413181357901,-16.39999999999999,-9.818825304628726
128,61.0,0.004166709464698215,-16.099999999999994,-0.9999704216891185
129,47.0,0.0030818716732028406,-14.7,-9.999711115491566
130,148.0,0.009853218996795476,-24.79999999999996,-9.827330822493819
131,95.0,0.006203249457030324,-8.499999999999982,8.129824446401201e-05
132,180.0,0.011891734293385525,-16.999999999999986,8.129824446312384e-06
133,134.0,0.008333813992067007,-12.399999999999968,0.05456212502262803
134,65.0,0.004306561095290817,-16.499999999999993,-0.9817479793798256
135,54.0,0.00351367346047482,-15.399999999999997,-0.9909639733478226
136,74.0,0.005243646035523852,-6.39999999999999,0.8102018769323103
137,80.0,0.00504730066677439,-17.999999999999986,-9.799835060625865
138,19.0,0.001259059738003998,-11.9,-9.799811629112131
139,51.0,0.0032209331802732777,-15.099999999999998,-9.800629891299726
140,73.0,0.005460534579469822,-17.29999999999999,-9.802358827942626
141,77.0,0.004972239055859973,-6.699999999999989,0.8646836279836819
142,57.0,0.004320783295042929,-15.699999999999996,-1.0000150925937668
143,73.0,0.004742313492897665,-6.29999999999999,0.08102018769323105
144,86.0,0.005365324856029474,-7.599999999999985,0.5445779591108255
145,51.0,0.006989025991060771,-4.099999999999998,0.08646836279836823
146,94.0,0.005927496806179988,-8.399999999999983,0.054457795911082574
147,26.0,0.001747355263432837,-12.600000000000001,-0.09999736969333917
148,70.0,0.004443252237251727,-5.999999999999991,0.5431170275628072
149,56.0,0.003533031453116564,-4.599999999999996,0.008646836279836867
150,73.0,0.004953276124069816,-17.29999999999999,-0.9999974979100035
