episode,length,time,reward,delta
0,16.0,0.0017355034303818684,-11.6,-10.000886538111207
1,34.0,0.003909919747343338,-13.400000000000002,-10.000429083581741
2,4.0,0.0005929867172653758,-10.4,-9.000797884300086
3,42.0,0.004681079022475387,-14.200000000000001,-10.000602673442518
4,29.0,0.0030731803287835646,-12.900000000000002,-10.0007312185656
5,25.0,0.0024707121450546765,-12.5,-10.000764053853166
6,27.0,0.0018346637674540034,-12.700000000000001,-10.000472891181285
7,23.0,0.0015711580109609713,-12.3,-8.280539344264058
8,5.0,0.0005447892625625173,-10.5,-10.000289017954445
9,45.0,0.0030565877623303095,-14.5,-7.452485409837652
10,12.0,0.0008596529625037874,-11.2,-10.000212671512772
11,19.0,0.0013060720101520928,-11.9,-10.000720762926585
12,18.0,0.0012393066836011712,-11.8,-6.707236868853887
13,18.0,0.001889972321919231,-11.8,-6.036513181968498
14,99.0,0.010181119713820408,-19.89999999999998,-5.432861863771648
15,66.0,0.006572631588937838,-16.599999999999994,-10.000621952752565
16,42.0,0.004208981003102963,-14.200000000000001,-9.981060299981415
17,31.0,0.003125723455696061,-13.100000000000001,-10.000728363081814
18,11.0,0.0011717512347786396,-11.1,-9.000425602063157
19,69.0,0.007580827526567191,-16.89999999999999,-9.00068764846785
20,13.0,0.0015514049557623366,-11.3,-9.090346154517231
21,35.0,0.003745969389115089,-13.500000000000002,-9.981427112914398
22,74.0,0.008102308183993046,-17.39999999999999,-8.181311539065508
23,36.0,0.0038198458155420667,-13.600000000000001,-9.965391244159504
24,18.0,0.0019587129540923343,-11.8,-4.889575677394483
25,41.0,0.004592585335103649,-14.100000000000001,-10.000114853478992
26,15.0,0.0016770343869438875,-11.5,-9.99025885559292
27,21.0,0.002320588925499578,-12.100000000000001,-9.990220713718228
28,102.0,0.008379641079159228,-20.19999999999998,-10.000782643336189
29,14.0,0.000994368799069889,-11.4,-9.000191404361495
30,16.0,0.0011192081078661431,-11.6,-9.000658096709039
31,13.0,0.0009315540834222702,-11.3,-9.99019254897576
32,18.0,0.0012444424779687324,-11.8,-9.980889497734783
33,42.0,0.002788736333855013,-14.200000000000001,-4.400618109655035
34,112.0,0.01173884564718719,-21.199999999999974,-10.000839487102615
35,22.0,0.0023762925411574543,-12.200000000000001,-9.000260116159001
36,14.0,0.0015486395280959186,-11.4,-7.363180385158957
