step,reward,mean,median,std,max,min
0,-0.07799999999999999,-0.07799999999999999,-0.07799999999999999,0.0,-0.07799999999999999,-0.07799999999999999
1,-0.07027027027027029,-0.07413513513513514,-0.07413513513513514,0.003864864864864849,-0.07027027027027029,-0.07799999999999999
2,-0.06944444444444446,-0.07257157157157158,-0.07027027027027029,0.003853256066893514,-0.06944444444444446,-0.07799999999999999
3,-0.07799999999999999,-0.0739286786786787,-0.07413513513513514,0.004081777289156107,-0.06944444444444446,-0.07799999999999999
4,-0.06666666666666667,-0.07247627627627629,-0.07027027027027029,0.004665470568402886,-0.06666666666666667,-0.07799999999999999
5,-0.06764705882352942,-0.07167140670081847,-0.06985735735735737,0.004623626446994768,-0.06666666666666667,-0.07799999999999999
6,-0.07105263157894738,-0.07158301025483689,-0.07027027027027029,0.004286119028043703,-0.06666666666666667,-0.07799999999999999
7,-0.07179487179487182,-0.07160949294734126,-0.07066145092460883,0.004009909427063719,-0.06666666666666667,-0.07799999999999999
8,-0.0725,-0.07170843817541445,-0.07105263157894738,0.003790923081570337,-0.06666666666666667,-0.07799999999999999
9,-0.07179487179487182,-0.07171708153736019,-0.07142375168690959,0.0035964788889545833,-0.06666666666666667,-0.07799999999999999
