steps,time,reward,delta,converged
1,0.035990461645269534,-5.347305389221557,0.09004925239994682,False
2,0.03817751991664409,-4.754491017964072,0.06437583346698932,False
3,0.05227409023245855,-2.7784431137724552,0.0829049967894882,False
4,0.04167065020010341,-3.37125748502994,0.01243062074540492,False
5,0.016585455272434046,-1.4685990338164252,10.000000291752542,False
6,0.020812214024772402,-3.2511415525114153,9.000000262577286,False
7,0.007716728545346996,-2.0,8.100000236319557,False
8,0.04646827224678418,-3.568862275449102,0.03550414744650803,False
9,0.009685713090220816,-5.074380165289257,7.290000212687602,False
10,0.004034759056594339,-0.9661016949152542,6.561000191418842,False
11,0.046966839361630264,-3.7664670658682633,0.0006513531762189829,False
12,0.005771052608906757,0.578125,5.904900172276958,False
13,0.03510196922252362,-3.618101545253863,5.314410155049262,False
14,0.02335561741347192,-1.7935222672064777,4.782969139544336,False
15,0.009547441703034565,-0.9791666666666666,4.304672225589902,False
16,0.00866843074618373,-0.975,3.874205003030912,False
17,0.03820635937881889,-2.7784431137724552,0.0022044861165175125,False
18,0.007337864948567585,-1.9150943396226414,3.486784502727821,False
19,0.020115721299589495,-2.7237762237762237,3.1381060524550395,False
20,0.01782357677257096,-3.3215686274509806,2.824295447209535,False
21,0.00634428627017769,-0.978021978021978,2.5418659024885812,False
22,0.03379787251651578,-3.3272251308900525,2.287679312239723,False
23,0.003887006201694021,0.7413793103448276,2.0589113810157516,False
24,0.005458164214360295,0.711864406779661,1.8530202429141767,False
25,0.009647392162150936,-0.9850746268656716,1.6677182186227584,False
26,0.022318582014122512,-1.9932659932659933,1.500946396760483,False
27,0.021222682513325708,-2.6655405405405403,1.3508517570844347,False
28,0.0024414776235062163,1.9705882352941178,1.2157665813759906,False
29,0.018915130602181307,-2.4646840148698885,1.0941899232383918,False
30,0.006304780161372037,-0.9787234042553191,0.9847709309145529,False
31,0.012112178390452755,-1.5542857142857143,0.8862938378230979,False
32,0.014687186667288188,-3.3364928909952605,0.7976644540407876,False
33,0.02029191855035606,-1.4127659574468086,0.717898008636709,False
34,0.012068721669493243,-4.307262569832402,0.6461082077730382,False
35,0.005694410754585988,-2.197530864197531,0.5814973869957342,False
36,0.009156331210760982,-0.9851851851851852,0.5233476482961607,False
37,0.00849183843274659,-3.8095238095238093,0.471012883466544,False
38,0.009665960033089505,-1.6689655172413793,0.42391159511988974,False
39,0.0027709585847333074,1.4634146341463414,0.3815204356079008,False
40,0.0046905604904168285,0.7719298245614035,0.3433683920471111,False
41,0.02513339238066692,-3.337278106508876,0.3090315528424,False
42,0.0033698712177283596,-3.425,0.27812839755816016,False
43,0.010625168393744389,-3.1538461538461537,0.2503155578023439,False
44,0.006339940598991234,1.2954545454545454,0.22528400202211005,False
45,0.005733126743507455,1.6578947368421053,0.20275560181989932,False
46,0.013808175710437354,-2.4,0.1824800416379091,False
47,0.013385065267357277,-0.2230769230769231,0.1642320374741189,False
48,0.005341226127711707,-0.9629629629629629,0.14780883372670672,False
49,0.02673259973016684,-4.47887323943662,0.13302795035403678,False
50,0.010405909482869902,-3.9207920792079207,0.11972515531863337,False
51,0.013496472498445655,-3.6802721088435373,0.10775263978677004,False
52,0.006642557404120453,-0.9733333333333334,0.09697737580809332,False
53,0.006929371766091208,-3.020618556701031,0.08727963822728385,False
54,0.008749813334361534,-0.18548387096774194,0.07855167440455518,False
55,0.012263486793017364,-5.293478260869565,0.07069650696410008,False
56,0.0032545133763051126,1.1041666666666667,0.06362685626769037,False
57,0.020248856892067124,-3.65993265993266,0.057264170640921465,False
58,0.0051958436397399055,0.3116883116883117,0.051537753576829465,False
59,0.003259254108343157,-0.9583333333333334,0.04638397821914708,False
60,0.0016003925338736735,3.2083333333333335,0.041745580397233084,False
61,0.004442857176400139,0.578125,0.03757102235750978,False
