step,reward,mean,median,std,max,min
0,-0.03529411764705883,-0.03529411764705883,-0.03529411764705883,0.0,-0.03529411764705883,-0.03529411764705883
1,-0.038888888888888896,-0.03709150326797386,-0.03709150326797386,0.0017973856209150332,-0.03529411764705883,-0.038888888888888896
2,-0.04500000000000002,-0.039727668845315915,-0.038888888888888896,0.004006553125714719,-0.03529411764705883,-0.04500000000000002
3,-0.052173913043478286,-0.04283922989485651,-0.04194444444444446,0.006409741606097336,-0.03529411764705883,-0.052173913043478286
4,-0.04210526315789475,-0.04269243654746416,-0.04210526315789475,0.005740559477342153,-0.03529411764705883,-0.052173913043478286
5,-0.054166666666666675,-0.04460480823399791,-0.043552631578947384,0.00676369080197334,-0.03529411764705883,-0.054166666666666675
6,-0.021428571428571446,-0.041293917261794134,-0.04210526315789475,0.010246177258168416,-0.021428571428571446,-0.054166666666666675
7,-0.038888888888888896,-0.04099328871518097,-0.04049707602339182,0.009617368273927791,-0.021428571428571446,-0.054166666666666675
8,-0.056000000000000015,-0.042660701080160866,-0.04210526315789475,0.010220508727079355,-0.021428571428571446,-0.056000000000000015
9,-0.03125000000000001,-0.041519630972144776,-0.04049707602339182,0.010282572037138631,-0.021428571428571446,-0.056000000000000015
