episode,length,time,reward,delta
0,87.0,0.0060582620317291,-18.699999999999985,-10.000535930500394
1,28.0,0.0020290338302402233,-12.8,-10.000387644350889
2,78.0,0.005231794201790763,-17.79999999999999,-10.000179094726768
3,16.0,0.001114862435770192,-11.6,-9.999956679612483
4,66.0,0.004599696434979705,-16.599999999999994,-10.00002495022307
5,71.0,0.004735597454782692,-17.09999999999999,-10.000527885170955
6,63.0,0.004180931664905074,-16.299999999999994,-9.990410124513126
7,45.0,0.0033908094565049396,-14.5,-10.0000401396789
8,10.0,0.0007514062199334148,-11.0,-10.000129793145994
9,113.0,0.007623889187016175,-21.299999999999976,-10.000309473051331
10,10.0,0.0007841962919883372,-11.0,-9.999850774282626
11,134.0,0.009403244399436517,-23.39999999999997,-10.000053757581913
12,209.0,0.015685111015955044,-30.900000000000027,-10.000673968084483
13,26.0,0.0018157008348680392,-12.600000000000001,-9.98984370534391
14,142.0,0.009647392162150936,-24.199999999999967,-10.000603894677075
15,50.0,0.004216882225136942,-14.999999999999998,-9.980326998007024
16,121.0,0.011586747122237284,-22.099999999999973,-9.990222479979762
17,123.0,0.00981252770361607,-22.299999999999972,-10.000529412233504
18,45.0,0.003072785267704603,-14.5,-10.00006736423973
19,20.0,0.0015423185504914727,-12.0,-9.965133310707403
20,124.0,0.010718007753894199,-22.39999999999997,-10.000367512951229
21,36.0,0.0025189095995301614,-13.600000000000001,-9.972906019408889
22,61.0,0.005211251024320518,-16.099999999999994,-9.95590400023336
23,112.0,0.007521568360971287,-21.199999999999974,-9.932448997526631
24,90.0,0.00634389120978085,-18.999999999999986,-9.00004838182372
25,87.0,0.0058706080071715405,-18.699999999999985,-9.99973246336411
26,133.0,0.009040183245360822,-23.29999999999997,-10.000173363850056
27,47.0,0.0031770813989169255,-14.7,-9.000348879915801
28,47.0,0.0038881913865225215,-14.7,-10.000140198553527
29,21.0,0.001481874201544997,-12.100000000000001,-9.979572572570095
30,130.0,0.0086285295747075,-22.99999999999997,-9.989869838933028
31,20.0,0.0014206397299858509,-12.0,-9.981066017503156
32,39.0,0.002589230476587545,-13.900000000000002,-8.999961011651234
33,122.0,0.008288777025427407,-22.199999999999974,-9.989695380931847
34,98.0,0.009027936351230892,-19.799999999999983,-9.999670813282334
35,30.0,0.002029823952852894,-13.000000000000002,-8.099964910486111
36,62.0,0.006458853990807256,-16.199999999999996,-9.00003612571101
37,35.0,0.0038008828823876684,-13.500000000000002,-8.968619979636662
38,38.0,0.003963648057379032,-13.800000000000002,-9.943481122680183
39,62.0,0.004710313544364908,-16.199999999999996,-9.956934861705653
40,47.0,0.0031474518164031906,-14.7,-10.000458859835327
41,147.0,0.014728668083080265,-13.699999999999964,0.999747153629555
42,105.0,0.008752973822538479,-20.49999999999998,-9.989465925369586
43,81.0,0.005428139570085477,-18.099999999999987,-9.999995441720738
44,97.0,0.006354162798288598,-19.69999999999998,-9.99048791593449
45,135.0,0.012460227223527909,-23.499999999999968,-9.999718136357513
46,455.0,0.03236617107540951,-55.50000000000038,-10.000369167185402
47,110.0,0.008427048411249416,-20.99999999999998,-9.999758224640917
48,183.0,0.012518696266397455,-28.29999999999999,-9.954468621886168
49,47.0,0.005572731934535113,-14.7,-9.999936623171038
50,114.0,0.008525418626504688,-21.399999999999977,-9.970403294578235
51,108.0,0.010139638297914644,-20.799999999999976,-10.000413728856232
52,61.0,0.0065177180954378855,-16.099999999999994,-7.2899684194375
53,76.0,0.007070408580148069,-17.599999999999987,-10.000666713628373
54,52.0,0.0034883895491475414,-15.199999999999998,-8.10031399192422
55,162.0,0.010957809844512667,-26.19999999999996,-10.000615519417511
56,164.0,0.010808081685809157,-26.399999999999963,-10.000487098967868
57,76.0,0.005300929894474393,-17.599999999999987,-9.948092929382968
58,105.0,0.006828236123510578,-20.49999999999998,-9.000330761656105
59,90.0,0.008745862722662423,-18.999999999999986,-10.000518281813644
60,149.0,0.010237218390557246,-24.899999999999963,-10.000662047280017
61,153.0,0.010034947105395986,-25.29999999999996,-10.00042090974721
62,145.0,0.009958305251075217,-24.499999999999964,-9.96481786773783
63,10.0,0.000741924753128842,-11.0,-7.290282592731798
64,320.0,0.021173299874590157,-42.000000000000185,-10.000099811952921
65,87.0,0.006117916258062905,-18.699999999999985,-9.9410164464973
66,50.0,0.0034283402610526537,-14.999999999999998,-9.000156027465051
67,115.0,0.010026650822055672,-21.499999999999975,-9.999829107193367
68,135.0,0.011717907408637984,-23.499999999999968,-9.999871901650273
69,212.0,0.015403037387841323,-31.20000000000003,-9.999804954178474
70,135.0,0.012396227324188658,-23.499999999999968,-9.863908295248748
71,193.0,0.019118192010864732,-29.300000000000004,-9.990450465783674
72,348.0,0.028728053368013207,-44.800000000000225,-10.000658305465528
73,121.0,0.011956919376643782,-22.099999999999973,-9.000126178698174
74,27.0,0.0021637496670336986,-12.700000000000001,-8.10003251313991
75,130.0,0.012605214648374385,-22.99999999999997,-9.99976979835231
76,241.0,0.016602047838659928,-34.10000000000007,-9.999825079375434
77,102.0,0.006718014075431711,-20.19999999999998,-8.999865696854364
78,42.0,0.0028997485042054905,-14.200000000000001,-6.561254333458619
79,118.0,0.008674751723901863,-21.799999999999976,-5.905128900112756
80,38.0,0.002550909548972413,-13.800000000000002,-10.000132185142883
