episode,length,time,reward,delta
0,10.0,0.0011496278128788617,-11.0,-10.000286987635082
1,15.0,0.0012898745048914861,-11.5,-10.000035310602938
2,80.0,0.0052136213907942874,-17.999999999999986,-9.99998429339485
3,45.0,0.0029546619974780697,-14.5,-10.000438047927794
4,68.0,0.004562955752476228,-16.79999999999999,-10.000460816776823
5,24.0,0.0016995528698089402,-12.4,-9.999575097296242
6,29.0,0.002957822486337136,-12.900000000000002,-9.979435189287786
7,48.0,0.004662116089434676,-14.799999999999999,-10.000156669022383
8,17.0,0.0017200960472791849,-11.700000000000001,-9.999861423124495
9,21.0,0.0022237989550148995,-12.100000000000001,-9.999963362648991
10,32.0,0.0029112052760638107,-13.200000000000001,-9.999838987160706
11,28.0,0.0018931328108919843,-12.8,-9.979066958641898
12,28.0,0.0018820710999989387,-12.8,-9.999704129862693
13,25.0,0.0016786146312597339,-12.5,-9.999688146665584
14,51.0,0.0038561914370802697,-15.099999999999998,-9.999723790778082
15,13.0,0.0013337262874983935,-11.3,-9.999674665054174
16,13.0,0.0013242448209211943,-11.3,-8.981160262777708
17,43.0,0.004303005545807537,-14.3,-9.999946460438473
18,38.0,0.0036942163844742026,-13.800000000000002,-9.938359017964371
19,31.0,0.003149822182990647,-13.100000000000001,-9.988705549050863
20,8.0,0.0008493813738823519,-10.8,-10.00014297296058
21,27.0,0.002725921618207394,-12.700000000000001,-10.000078166004704
22,55.0,0.005298559528227997,-15.499999999999996,-9.988841418100256
23,13.0,0.0013807385587369936,-11.3,-8.999617587566618
24,48.0,0.004636832178903205,-14.799999999999999,-9.970765906944125
25,47.0,0.004598116190663859,-14.7,-10.000164797331042
26,52.0,0.005185967113561674,-15.199999999999998,-9.990336383537942
27,99.0,0.009555737986033819,-19.89999999999998,-9.999887650853985
28,38.0,0.0037570311000081347,-13.800000000000002,-9.999880090441398
29,32.0,0.0031371802276680683,-13.200000000000001,-8.98995727629023
30,51.0,0.00493510331239122,-15.099999999999998,-9.90972998115078
31,79.0,0.006963742082007229,-6.899999999999988,0.999985720130144
32,38.0,0.002509428133180336,-13.800000000000002,-9.877134156794957
33,45.0,0.002947155836636739,-14.5,-9.95529213933397
34,64.0,0.00417184525929315,-16.39999999999999,-9.944320220131095
35,26.0,0.0017588120354048442,-12.600000000000001,-9.99987809364375
36,26.0,0.0018599476780991608,-12.600000000000001,-8.099655828809956
37,211.0,0.013464077488833937,-20.10000000000003,1.0000028009066555
38,77.0,0.005064683354589761,-17.69999999999999,-9.999907053506506
39,186.0,0.013176473005046319,-28.599999999999994,-8.256805496437437
40,39.0,0.003778759460715264,-13.900000000000002,-9.999642936738095
41,84.0,0.008204233948845285,-7.399999999999986,0.9200391680404366
42,63.0,0.006086706430892264,-16.299999999999994,-8.999855088444635
43,65.0,0.006241965444701236,-16.499999999999993,-9.000070349404234
44,19.0,0.0016754541425143543,-11.9,-9.955766873266732
45,37.0,0.0024454282342958322,-13.700000000000003,-10.000408214948598
46,195.0,0.012662893569654443,-29.500000000000007,-9.000258288871574
47,65.0,0.004219647652917047,-5.499999999999993,0.8280352512363929
48,45.0,0.0029518965699253386,-14.5,-9.989563416112668
49,51.0,0.003335500901926025,-15.099999999999998,-8.999890284279374
50,32.0,0.0021143670290939554,-13.200000000000001,-9.826336270502209
51,152.0,0.009846107897601541,-14.199999999999962,0.7452317261127537
52,16.0,0.0011065661526572512,-11.6,-9.938479697229042
53,143.0,0.009398503666602664,-24.299999999999965,-8.999733716876424
54,7.0,0.0005297769406524822,-10.7,-9.876377463616457
55,203.0,0.01497913682305807,-30.30000000000002,-9.970561860749791
56,24.0,0.0023778727855869874,-12.4,-8.100232459984417
57,137.0,0.01365844755218859,-12.699999999999967,0.6707085535014783
58,61.0,0.006046015137144423,-16.099999999999994,-9.819534731181554
59,92.0,0.006136879191103617,-19.19999999999998,-8.999985864055365
60,92.0,0.0063193974212936155,-19.19999999999998,-8.999719331999025
61,58.0,0.004407696738439881,-4.799999999999995,0.6036376981513304
62,211.0,0.017928267965203304,-31.10000000000003,-8.09976034518878
