params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.4, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",9.452778741287943,10,-0.04194495540691194,-0.04194444444444446,-0.05769230769230771,-0.02666666666666669,0.008697340837302989
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",9.48395893892905,10,-0.03703815850011504,-0.03506944444444445,-0.05925925925925928,-0.021428571428571446,0.012796861348575194
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.6, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",9.254231697016507,10,-0.044247213212770496,-0.043552631578947384,-0.05925925925925928,-0.03125000000000001,0.008245509656898008
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.7, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",9.279018620810007,10,-0.03522814766932415,-0.03529411764705883,-0.05769230769230771,-0.021428571428571446,0.010332964645960884
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.8, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",9.178968606074363,10,-0.031126142562288083,-0.03125000000000001,-0.04210526315789475,-0.021428571428571446,0.006169893491948868
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.9, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",9.625545283088854,10,-0.0349503620161515,-0.03125000000000001,-0.05925925925925928,-0.021428571428571446,0.01077303727342053
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.0, ""q_init"": 0, ""epsilon_decay"": 1e-05}",107.96418297017999,10,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,0.0
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.1, ""q_init"": 0, ""epsilon_decay"": 1e-05}",9.389328372419186,10,-0.04840619879315533,-0.051086956521739155,-0.05925925925925928,-0.021428571428571446,0.01080130366988443
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.2, ""q_init"": 0, ""epsilon_decay"": 1e-05}",9.86092229385099,10,-0.03607187208216621,-0.03125000000000001,-0.056000000000000015,-0.02666666666666669,0.00862390962169362
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.3, ""q_init"": 0, ""epsilon_decay"": 1e-05}",9.235855034698261,10,-0.039142412189895046,-0.038888888888888896,-0.06666666666666667,-0.021428571428571446,0.012406026116661096
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.4, ""q_init"": 0, ""epsilon_decay"": 1e-05}",9.019811524248553,10,-0.0435831154684096,-0.04194444444444446,-0.05925925925925928,-0.03125000000000001,0.009493531308938716
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.5, ""q_init"": 0, ""epsilon_decay"": 1e-05}",9.271777545832947,10,-0.04160198412698414,-0.038888888888888896,-0.060714285714285735,-0.03125000000000001,0.00997017488726707
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.6, ""q_init"": 0, ""epsilon_decay"": 1e-05}",8.693407694368261,10,-0.03657385620915034,-0.03709150326797386,-0.056000000000000015,-0.021428571428571446,0.010759000499702801
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.7, ""q_init"": 0, ""epsilon_decay"": 1e-05}",8.964708006387355,10,-0.03732170846981052,-0.03529411764705883,-0.052173913043478286,-0.02666666666666669,0.007102655618749183
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.8, ""q_init"": 0, ""epsilon_decay"": 1e-05}",9.097249031507545,10,-0.03870125804707849,-0.03709150326797386,-0.056000000000000015,-0.03125000000000001,0.007972933855033964
