step,reward,mean,median,std,max,min
0,-0.021428571428571446,-0.021428571428571446,-0.021428571428571446,0.0,-0.021428571428571446,-0.021428571428571446
1,-0.038888888888888896,-0.03015873015873017,-0.03015873015873017,0.008730158730158725,-0.021428571428571446,-0.038888888888888896
2,-0.03125000000000001,-0.030522486772486784,-0.03125000000000001,0.007146683523421738,-0.021428571428571446,-0.038888888888888896
3,-0.03125000000000001,-0.030704365079365088,-0.03125000000000001,0.006197221409107437,-0.021428571428571446,-0.038888888888888896
4,-0.054166666666666675,-0.035396825396825406,-0.03125000000000001,0.010899595308017576,-0.021428571428571446,-0.054166666666666675
5,-0.050000000000000024,-0.03783068783068784,-0.03506944444444445,0.011341049920545257,-0.021428571428571446,-0.054166666666666675
6,-0.03529411764705883,-0.037468320661597984,-0.03529411764705883,0.010537223125267016,-0.021428571428571446,-0.054166666666666675
7,-0.02666666666666669,-0.036118113912231575,-0.03327205882352942,0.010484051943544848,-0.021428571428571446,-0.054166666666666675
8,-0.03529411764705883,-0.03602655877165682,-0.03529411764705883,0.009887850513470782,-0.021428571428571446,-0.054166666666666675
9,-0.021428571428571446,-0.034566760037348286,-0.03327205882352942,0.01035237847556151,-0.021428571428571446,-0.054166666666666675
