step,reward,mean,median,std,max,min
0,-0.04210526315789475,-0.04210526315789475,-0.04210526315789475,0.0,-0.04210526315789475,-0.04210526315789475
1,-0.0725,-0.05730263157894737,-0.05730263157894737,0.015197368421052623,-0.04210526315789475,-0.0725
2,-0.03125000000000001,-0.04861842105263158,-0.04210526315789475,0.017458647223679336,-0.03125000000000001,-0.0725
3,-0.04500000000000002,-0.04771381578947369,-0.043552631578947384,0.015200598810805564,-0.03125000000000001,-0.0725
4,-0.056000000000000015,-0.049371052631578954,-0.04500000000000002,0.013994009402918627,-0.03125000000000001,-0.0725
5,-0.03529411764705883,-0.047024896800825604,-0.043552631578947384,0.01380998980997822,-0.03125000000000001,-0.0725
6,-0.065625,-0.04968205440070766,-0.04500000000000002,0.014346902825328214,-0.03125000000000001,-0.0725
7,-0.04210526315789475,-0.048734955495356044,-0.043552631578947384,0.013652230310469858,-0.03125000000000001,-0.0725
8,-0.07027027027027029,-0.05112776824812429,-0.04500000000000002,0.014542302072945832,-0.03125000000000001,-0.0725
9,-0.02666666666666669,-0.04868165808997853,-0.043552631578947384,0.015626317185273665,-0.02666666666666669,-0.0725
