step,reward,mean,median,std,max,min
0,-0.07105263157894738,-0.07105263157894738,-0.07105263157894738,0.0,-0.07105263157894738,-0.07105263157894738
1,-0.07555555555555553,-0.07330409356725145,-0.07330409356725145,0.0022514619883040737,-0.07105263157894738,-0.07555555555555553
2,-0.08690476190476189,-0.07783764967975493,-0.07555555555555553,0.006669756325405553,-0.07105263157894738,-0.08690476190476189
3,-0.07105263157894738,-0.07614139515455304,-0.07330409356725145,0.006480437895931044,-0.07105263157894738,-0.08690476190476189
4,-0.08428571428571426,-0.07777025898078528,-0.07555555555555553,0.006649033743037188,-0.07105263157894738,-0.08690476190476189
5,-0.06944444444444446,-0.07638262322472848,-0.07330409356725145,0.006816820352687115,-0.06944444444444446,-0.08690476190476189
6,-0.07441860465116278,-0.07610204914279052,-0.07441860465116278,0.006348459369619636,-0.06944444444444446,-0.08690476190476189
7,-0.07708333333333332,-0.07622470966660837,-0.07498708010335915,0.0059473009466875235,-0.06944444444444446,-0.08690476190476189
8,-0.08333333333333331,-0.07701455674068892,-0.07555555555555553,0.0060358274148342465,-0.06944444444444446,-0.08690476190476189
9,-0.07755102040816327,-0.07706820310743637,-0.07631944444444443,0.005728349912277095,-0.06944444444444446,-0.08690476190476189
