episode,length,time,reward,delta
0,44.0,0.003160093771839456,-14.4,-10.0
1,56.0,0.006025076898367843,-15.599999999999996,-10.0
2,11.0,0.0012807880993932486,-11.1,-10.0
3,20.0,0.0021582188119282364,-12.0,-10.0
4,23.0,0.001953182098986872,-12.3,-10.0
5,15.0,0.0010646896757862123,-11.5,-9.91
6,31.0,0.0021155522126719006,-13.100000000000001,-10.0
7,33.0,0.0027255265572421195,-13.3,-10.0
8,32.0,0.0037661175051653117,-13.200000000000001,-10.0
9,10.0,0.0012590597384587454,-11.0,-10.0
10,30.0,0.0021661200339622155,-13.000000000000002,-10.0
11,25.0,0.0017690836243673402,-12.5,-10.0
12,12.0,0.0008687393678883382,-11.2,-10.0
13,8.0,0.000634863194591162,-10.8,-10.0
14,40.0,0.0027298722293380706,-14.000000000000002,-10.0
15,32.0,0.0022190582217263,-13.200000000000001,-1.0
16,23.0,0.0016312072989421722,-12.3,-9.761899987
17,8.0,0.0013266151877360244,-10.8,-9.760547692
18,16.0,0.0018978735442942707,-11.6,-10.0
19,13.0,0.0014708124904245778,-11.3,-10.0
20,18.0,0.001997428942559054,-11.8,-9.901
21,15.0,0.001649775170335488,-11.5,-0.09999999999999964
22,29.0,0.0031869579270278336,-12.900000000000002,-1.0
23,46.0,0.005230213957020169,-14.6,-10.0
24,11.0,0.0012558992498270527,-11.1,-1.0
25,20.0,0.00218350272234602,-12.0,-1.0
26,13.0,0.0014230100969143678,-11.3,-9.847063
27,32.0,0.003326809557620436,-13.200000000000001,-10.0
28,6.0,0.0007217766369649325,-10.6,-1.0
29,10.0,0.0013661212983606674,-11.0,-9.832294909
30,6.0,0.0004803943024853652,-10.6,-9.82903069
31,30.0,0.002065774513539509,-13.000000000000002,-9.91
32,41.0,0.0029072546649331343,-14.100000000000001,-9.01
33,17.0,0.0011843931902149052,-11.700000000000001,-9.629130575386087
34,12.0,0.0008545171681362262,-11.2,-0.9847062999999991
35,35.0,0.0024754528781159024,-13.500000000000002,-9.91
36,28.0,0.002120292946074187,-12.8,-0.9901
37,10.0,0.001369676847843948,-11.0,-0.09900999999999982
38,6.0,0.00048671528020349797,-10.6,-9.843070753
39,22.0,0.0015229605564854864,-12.200000000000001,-0.9909999999999997
40,35.0,0.002526810822018888,-13.500000000000002,-9.91
41,77.0,0.006726310358772025,-17.69999999999999,-0.09999999999999964
42,41.0,0.005336880455161008,-14.100000000000001,-9.901
