step,reward,mean,median,std,max,min
0,-0.0725,-0.0725,-0.0725,0.0,-0.0725,-0.0725
1,-0.06764705882352942,-0.0700735294117647,-0.0700735294117647,0.002426470588235287,-0.06764705882352942,-0.0725
2,-0.06944444444444446,-0.06986383442265796,-0.06944444444444446,0.00200327656285735,-0.06764705882352942,-0.0725
3,-0.06666666666666667,-0.06906454248366013,-0.06854575163398693,0.0022195586389439836,-0.06666666666666667,-0.0725
4,-0.065625,-0.0683766339869281,-0.06764705882352942,0.002415372609117103,-0.065625,-0.0725
5,-0.065625,-0.06791802832244008,-0.06715686274509805,0.0024317243151510378,-0.065625,-0.0725
6,-0.06764705882352942,-0.06787931839402428,-0.06764705882352942,0.0022533351196081046,-0.065625,-0.0725
7,-0.062068965517241406,-0.06715302428442643,-0.06715686274509805,0.002852253705678668,-0.062068965517241406,-0.0725
8,-0.0738095238095238,-0.06789263534277058,-0.06764705882352942,0.003406995660589131,-0.062068965517241406,-0.0738095238095238
9,-0.07027027027027029,-0.06813039883552055,-0.06764705882352942,0.003309930632884599,-0.062068965517241406,-0.0738095238095238
