step,reward,mean,median,std,max,min
0,-0.065625,-0.065625,-0.065625,0.0,-0.065625,-0.065625
1,-0.038888888888888896,-0.05225694444444445,-0.05225694444444445,0.013368055555555553,-0.038888888888888896,-0.065625
2,-0.038888888888888896,-0.047800925925925934,-0.038888888888888896,0.012603523646149108,-0.038888888888888896,-0.065625
3,-0.04500000000000002,-0.04710069444444445,-0.04194444444444446,0.010982148178168652,-0.038888888888888896,-0.065625
4,-0.06666666666666667,-0.05101388888888889,-0.04500000000000002,0.012559395922014951,-0.038888888888888896,-0.06666666666666667
5,-0.062068965517241406,-0.05285640166028097,-0.053534482758620716,0.012182895995424058,-0.038888888888888896,-0.06666666666666667
6,-0.04210526315789475,-0.05132052473136866,-0.04500000000000002,0.01189004555154108,-0.038888888888888896,-0.06666666666666667
7,-0.06451612903225809,-0.05296997526897984,-0.053534482758620716,0.011947650181005772,-0.038888888888888896,-0.06666666666666667
8,-0.065625,-0.05437608912798208,-0.062068965517241406,0.011945831462917778,-0.038888888888888896,-0.06666666666666667
9,-0.05925925925925928,-0.0548644061411098,-0.06066411238825034,0.011427102955438112,-0.038888888888888896,-0.06666666666666667
