step,reward,mean,median,std,max,min
0,-0.065625,-0.065625,-0.065625,0.0,-0.065625,-0.065625
1,-0.07105263157894738,-0.06833881578947369,-0.06833881578947369,0.002713815789473689,-0.065625,-0.07105263157894738
2,-0.060714285714285735,-0.06579730576441105,-0.065625,0.004222370247596216,-0.060714285714285735,-0.07105263157894738
3,-0.06944444444444446,-0.0667090904344194,-0.06753472222222223,0.003983134661824281,-0.060714285714285735,-0.07105263157894738
4,-0.06944444444444446,-0.06725616123642442,-0.06944444444444446,0.0037268532620706256,-0.060714285714285735,-0.07105263157894738
5,-0.07799999999999999,-0.06904680103035367,-0.06944444444444446,0.005254187256102243,-0.060714285714285735,-0.07799999999999999
6,-0.07105263157894738,-0.06933334825158134,-0.06944444444444446,0.004914809883735396,-0.060714285714285735,-0.07799999999999999
7,-0.07499999999999997,-0.07004167972013367,-0.07024853801169592,0.00496468236189343,-0.060714285714285735,-0.07799999999999999
8,-0.06944444444444446,-0.0699753202450571,-0.06944444444444446,0.004684509050418807,-0.060714285714285735,-0.07799999999999999
9,-0.0738095238095238,-0.07035874060150375,-0.07024853801169592,0.004590562391118257,-0.060714285714285735,-0.07799999999999999
