params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.4, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",19.4704826145462,10,-0.07163945864370314,-0.06985735735735737,-0.08166666666666664,-0.06451612903225809,0.005086316048819194
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",19.17437997135039,10,-0.06813039883552055,-0.06764705882352942,-0.0738095238095238,-0.062068965517241406,0.003309930632884599
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.6, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",19.699072870601412,10,-0.06783694137738257,-0.06764705882352942,-0.0725,-0.06333333333333337,0.0029905804032901865
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.7, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",18.325347831549152,10,-0.06902350832806242,-0.06764705882352942,-0.07708333333333332,-0.06451612903225809,0.0037203491847327946
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.8, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",17.59636804524507,10,-0.06805989106316393,-0.06900793650793652,-0.07708333333333332,-0.062068965517241406,0.004839396720886276
"{""alpha"": 0.1, ""epsilon"": 0.5, ""discount_factor"": 0.9, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",16.373764150101124,10,-0.0707250887534501,-0.06944444444444446,-0.08428571428571426,-0.06333333333333337,0.005951410590681662
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.0, ""q_init"": 0, ""epsilon_decay"": 1e-05}",99.70874199112313,10,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,0.0
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.1, ""q_init"": 0, ""epsilon_decay"": 1e-05}",89.77022890630542,10,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,0.0
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.2, ""q_init"": 0, ""epsilon_decay"": 1e-05}",82.45993961886143,10,-0.09977096519461406,-0.09999999999999998,-0.09999999999999998,-0.09925271739130434,0.0002993907833416743
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.3, ""q_init"": 0, ""epsilon_decay"": 1e-05}",22.644085500704932,10,-0.06769967986009008,-0.068109243697479,-0.07105263157894738,-0.06333333333333337,0.002764069473113947
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.4, ""q_init"": 0, ""epsilon_decay"": 1e-05}",19.54906540394586,10,-0.07015188007215871,-0.07066145092460883,-0.07499999999999997,-0.06333333333333337,0.003336689524408124
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.5, ""q_init"": 0, ""epsilon_decay"": 1e-05}",19.84082632560785,10,-0.0700954902247347,-0.07142375168690959,-0.07708333333333332,-0.06333333333333337,0.004943419938810568
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.6, ""q_init"": 0, ""epsilon_decay"": 1e-05}",20.20409330711209,10,-0.0695792912158445,-0.06981203007518798,-0.07317073170731707,-0.065625,0.002495223025136496
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.7, ""q_init"": 0, ""epsilon_decay"": 1e-05}",20.284531303456788,10,-0.06891627399947835,-0.068109243697479,-0.0725,-0.065625,0.002384828582231373
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.8, ""q_init"": 0, ""epsilon_decay"": 1e-05}",17.23033840144126,10,-0.06782808375776223,-0.068109243697479,-0.07317073170731707,-0.06451612903225809,0.00244277301080699
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.9, ""q_init"": 0, ""epsilon_decay"": 1e-05}",17.30097651203687,10,-0.0699115906853686,-0.06972096530920062,-0.07924528301886789,-0.060714285714285735,0.0053427299320436715
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.0, ""q_init"": 0, ""epsilon_decay"": 1e-05}",103.2743707269201,10,-0.10223981900452488,-0.09999999999999998,-0.12239819004524888,-0.09999999999999998,0.00671945701357467
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.1, ""q_init"": 0, ""epsilon_decay"": 1e-05}",75.85233840618093,10,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,0.0
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.2, ""q_init"": 0, ""epsilon_decay"": 1e-05}",61.35749000297801,10,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,0.0
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.3, ""q_init"": 0, ""epsilon_decay"": 1e-05}",20.57982407138843,10,-0.06897115715671057,-0.07018315018315019,-0.0738095238095238,-0.062068965517241406,0.004223621230457654
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.4, ""q_init"": 0, ""epsilon_decay"": 1e-05}",20.09944636136879,10,-0.06793751834999301,-0.06854575163398693,-0.07799999999999999,-0.062068965517241406,0.0047976348118986935
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.5, ""q_init"": 0, ""epsilon_decay"": 1e-05}",19.943299645156003,10,-0.06770918584825235,-0.06764705882352942,-0.0760869565217391,-0.06333333333333337,0.0037435038737482296
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.6, ""q_init"": 0, ""epsilon_decay"": 1e-05}",17.994720403405154,10,-0.0675638867482783,-0.06663602941176472,-0.07708333333333332,-0.06333333333333337,0.004247351950314145
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.7, ""q_init"": 0, ""epsilon_decay"": 1e-05}",17.546092174076875,10,-0.07189133461400393,-0.0738095238095238,-0.07659574468085102,-0.06333333333333337,0.003854731167242751
