steps,time,reward,delta,converged
1,0.007941518315419671,0.14772727272727273,90.0,False
2,0.0506436730556743,-5.149700598802395,0.49621725990000015,False
3,0.011924524367714184,-3.43801652892562,9.0,False
4,0.007920185014882009,-2.1547619047619047,0.9,False
5,0.005467645680255373,-0.9692307692307692,0.08999999999999489,False
6,0.004373721483716508,1.0612244897959184,0.009000000000004605,False
7,0.0012993559721508063,4.611111111111111,0.0009000000000042974,False
8,0.00856097412543022,-3.587719298245614,9.000000000298769e-05,False
9,0.0031529826719634,1.2954545454545454,9.000000002856724e-06,False
10,0.003418463733396493,1.1956521739130435,8.999999977277185e-07,False
11,0.003788240926951403,1.148936170212766,8.999999465686415e-08,False
12,0.0048959922623907914,-0.9583333333333334,8.999994349778718e-09,False
13,0.0083808262625098,-4.511904761904762,9.000032719086448e-10,False
14,0.0021368855123000685,2.2580645161290325,9.000160616778885e-11,False
15,0.0031766863376105903,-0.9259259259259259,9.00399754755199e-12,False
16,0.005428929693152895,-5.538461538461538,8.952838470577262e-13,False
17,0.0014372322966664797,3.8095238095238093,8.952838470577262e-14,False
18,0.0013878496574761812,-0.8888888888888888,1.2789769243681804e-14,False
19,0.0024244899959739996,-0.9333333333333333,0.0,False
20,0.0023608851588505786,2.2580645161290325,0.0,False
21,0.0014036521024536341,4.05,0.0,False
22,0.0034745624088827753,-4.233333333333333,0.0,False
23,0.002193774311308516,-4.03125,0.0,False
24,0.002869328800443327,-0.9259259259259259,0.0,False
25,0.0025908107199938968,3.8095238095238093,0.0,False
26,0.001354269465082325,4.315789473684211,0.0,False
27,0.00118399812890857,5.733333333333333,0.0,False
28,0.0031873529878794216,-7.704545454545454,0.0,False
29,0.0022139224274724256,-0.9333333333333333,0.0,False
30,0.0013167386587156216,4.315789473684211,0.0,False
31,0.001263010350157856,5.3125,0.0,False
32,0.0037368829835031647,-12.257142857142858,0.0,False
33,0.002595946516521508,-0.9375,0.0,False
34,0.002496786177289323,-3.7714285714285714,0.0,False
35,0.0018010835719906026,-0.9130434782608695,0.0,False
36,0.0016260715037788032,-0.9166666666666666,0.0,False
37,0.0030929333825042704,-5.558139534883721,0.0,False
38,0.004980140278348699,-5.454545454545454,0.0,False
39,0.0014317014429252595,-0.9,0.0,False
40,0.002220243404735811,-0.9333333333333333,0.0,False
41,0.0014166891196509823,3.8095238095238093,0.0,False
42,0.006789915196350194,-5.154929577464789,0.0,False
43,0.001827552667236887,-0.9,0.0,False
44,0.0022688359222229337,4.05,0.0,False
45,0.0014629112683905987,-0.9047619047619048,0.0,False
46,0.0013349114706215914,5.733333333333333,0.0,False
