step,reward,mean,median,std,max,min
0,-0.062068965517241406,-0.062068965517241406,-0.062068965517241406,0.0,-0.062068965517241406,-0.062068965517241406
1,-0.05769230769230771,-0.05988063660477456,-0.05988063660477456,0.0021883289124668484,-0.05769230769230771,-0.062068965517241406
2,-0.04761904761904764,-0.05579344027619892,-0.05769230769230771,0.006050030573702633,-0.04761904761904764,-0.062068965517241406
3,-0.03529411764705883,-0.050668609618913896,-0.05265567765567768,0.010307464298002576,-0.03529411764705883,-0.062068965517241406
4,-0.038888888888888896,-0.0483126654729089,-0.04761904761904764,0.01035359587196927,-0.03529411764705883,-0.062068965517241406
5,-0.02666666666666669,-0.04470499900520186,-0.04325396825396827,0.012426064392147848,-0.02666666666666669,-0.062068965517241406
6,-0.021428571428571446,-0.041379795065683234,-0.038888888888888896,0.014095772769173526,-0.021428571428571446,-0.062068965517241406
7,-0.03125000000000001,-0.04011357068247283,-0.03709150326797386,0.013604327548085871,-0.021428571428571446,-0.062068965517241406
8,-0.054166666666666675,-0.041675025791827705,-0.038888888888888896,0.013565348226267366,-0.021428571428571446,-0.062068965517241406
9,-0.03125000000000001,-0.04063252321264493,-0.03709150326797386,0.01324379514709927,-0.021428571428571446,-0.062068965517241406
