,PI,QL,VI
frozen_lake,"{'readable_name': 'Frozen Lake', 'param_str': '0.7', 'params': {'discount_factor': 0.7}, 'name': 'frozen_lake', 'index': 7}",,"{'readable_name': 'Frozen Lake', 'param_str': '0.5', 'params': {'discount_factor': 0.5}, 'name': 'frozen_lake', 'index': 5}"
large_frozen_lake,"{'readable_name': 'Large Frozen Lake', 'param_str': '0.7', 'params': {'discount_factor': 0.7}, 'name': 'large_frozen_lake', 'index': 7}",,"{'readable_name': 'Large Frozen Lake', 'param_str': '0.8', 'params': {'discount_factor': 0.8}, 'name': 'large_frozen_lake', 'index': 8}"
